Drug_ID,Drug,Y
26665387,COc1ccc(/C=C2\SC(=S)N(N3CCOCC3)C2=O)c(OC)c1,10.2263
26732361,COc1cc(OC)c2ccc(=O)oc2c1C(CC(=O)N1CCOCC1)c1ccc(N(C)C)cc1,21.8025
49735227,COc1cccc(NC(=O)C2C3C=CC4(O3)C2C(=O)N(CCCN2CCCCC2)C4C(=O)NC2CCCCC2)c1,8.3398
22413685,Fc1ccc(Oc2ncccn2)c(F)c1,15.1215
24783074,Cc1onc(C(=O)Nc2sc3c(c2C#N)CCCC3)c1[N+](=O)[O-],10.7592
49728775,COCc1nnc(NC(=O)c2cc3ccccc3o2)s1,26.7637
22404698,COc1cc(CNC(C)(C)CO)ccc1OCC(=O)NC(C)(C)C,6.4413
26729645,CCOC(=O)c1nnn2c1nc(N1CCN(c3ccccc3)CC1)c1ccccc12,-0.764300000000006
47198404,Clc1cccc(CN2CCSCC2)c1Cl,13.3608
24837056,O=C(CSc1cccc[n+]1[O-])Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,23.0623
49726182,Cc1ccc(NC(=O)Cc2nnc(SCC(=O)Nc3ccc(N4CCOCC4)cc3)n2C)cc1,8.3655
26669206,Cc1ccc(C(C(=O)NCc2ccco2)N(C(=O)Cn2nnc3ccccc32)c2ccccc2)o1,5.82939999999999
7975263,CC(C)CCSc1nc(N2CCOCC2)c2c(c1C#N)CC(C)(C)OC2,5.79369999999999
26732153,COc1cc(OC)c2ccc(=O)oc2c1C(CC(=O)N1CCCC(C)C1)c1ccc2c(c1)OCO2,7.8663
14734108,CCCCCCCOc1ccc(OC(=O)c2cccnc2)cc1,9.3466
4242937,CSc1nsc(SC)c1NC(=O)OCc1ccccc1,12.6118
49668334,CCN1C(=O)NC(c2ccc(Cl)cc2)C2=C1CCCC2=O,10.5302
7964941,O=C(NCCN1C(=O)C2C3C=CC(C3)C2C1=O)N1CCCCC1,12.679
22415125,CC(=O)Oc1ccc([N+](=O)[O-])cc1N1C(=O)c2ccccc2C1=O,6.82119999999999
7969474,CCOC(=O)Cn1c(CN2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C,10.4529
7973910,CCN(CC)CCNC(=O)NC1CCCCC1,12.1239
49643928,CCCCNC(=S)N(CCN(CC)CC)Cc1cc2cc3c(cc2[nH]c1=O)OCCO3,15.8577
47194782,CC1CC(C)CN(CC(O)COC2CC(C)CC(C)(C)C2)C1.Cl,-4.44090000000001
7972138,CCCn1c(-c2ccc(OC)cc2)nc2ccccc21,1.14319999999999
49733585,COc1ccc(CN2CCC(Oc3ccc(C(=O)NCc4ccccn4)cc3)CC2)c(F)c1,7.45889999999999
3714108,Cc1nn(-c2ccccc2)c2sc(C(=O)N3CCOCC3)cc12,0.777799999999996
14734810,COC(=O)C1=C(C)NC(=O)NC1c1ccsc1,5.0845
49723786,CSc1cccc(NC(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)c1,4.70759999999999
26661971,O=S(=O)(c1cnc(Cl)c(Cl)c1)N1CCc2ccccc21,14.7603
24807489,CCOc1ccc(C(=O)NCC2CCCO2)cc1OCC,22.6547
14728240,Cc1ccc(-n2cc3ccc([N+](=O)[O-])cc3n2)cc1,12.2345
49723910,CC(=O)c1sc(NC(=O)c2ccc3c(c2)OCO3)nc1C,1.49059999999999
57268890,Cc1cccc(C(=O)OCC(=O)N2CCCCCC2)c1,6.6279
24812031,COCCN1Cc2cccc(C(=O)NCC3CCN(CC(C)C)C3)c2C1=O,-2.8001
49646723,COc1ccc([C@H]2/C=C\CN(S(=O)(=O)c3cccc4cccnc34)[C@@H](C)C(=O)N2Cc2ccc(F)cc2)cc1,5.1315
14729396,Cc1cc(=O)oc(C)c1C(=O)N1CCN(c2ccc(F)cc2)CC1,11.937
14740266,Cn1c(=O)c2c(nc(N3CCOCC3)n2CCSc2ncccn2)n(C)c1=O,4.67479999999999
22413463,O=C(NCc1ccco1)c1cccnc1Cl,3.3128
7969382,COc1ccc(C2C(C(=O)Nc3ccccn3)=C(C)Nc3ncnn32)c(OC)c1,12.792
17409450,CC(C)(C)C(=O)N1CCC(O)(CS(=O)(=O)Cc2ccccc2Cl)CC1,-2.08010000000001
4261026,COc1cccc(OC)c1C(=O)Nc1cc(Cl)ccc1N1CCOCC1,2.3252
26662121,Cc1nc2ccccc2c(=O)n1Cc1ccco1,10.6631
26659292,c1ccc(Cn2c3ccccc3c3nnc(SCCN4CCCCC4)nc32)cc1,-6.3091
49667527,Cc1ccc(CN2CCC(N3CC(C)OC(C)C3)CC2)cc1.Cl,7.0362
24786655,COc1ccc(-c2ccc(CCC(=O)O)n2NC(=O)c2ccc(O)cc2)cc1,10.8583
17505984,O=C(NC(Cc1ccccc1)C(=O)O)/C(=C\c1ccco1)NC(=O)c1ccccc1,9.51229999999999
26667821,Cc1ccccc1OCC(O)Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,-14.066
57261273,O=S(=O)(c1ccc(SCCOc2ccc(Cl)cc2)nc1)N1CCCC1,-4.0838
49817847,COc1ccc(CCN2CC(C(=O)NCC3(O)CCCCC3)CCC2=O)cc1,17.1909
7967464,Cc1cc(C)c(NC(=O)Cn2cc3c(n2)CCCC3)c(C)c1,10.0473
24838175,CSc1ccc(CN(C)C(C)C(=O)Nc2ccc(F)c(F)c2F)cc1,13.355
14735433,O=C(CNC(=S)N(Cc1ccc(F)cc1)C1CCCCC1)NC1CC1,-6.38450000000001
7966807,O=C(CSc1nccc2ccccc12)N1CCN(c2ccccn2)CC1,8.4776
49731186,Cc1nn(CCCC(=O)NCCc2ccc(Cl)cc2)c(=O)c2nccn12,-5.41820000000001
24779224,Cc1ccc(C)c2nc(SCC(=O)Nc3ccc4c(c3)OCO4)c(C#N)cc12,14.2201
47194864,O=C(O)c1ccc(SCc2ccccc2)nc1,3.9423
26730042,Cc1cc(-c2nc(C)c(C(=O)NNC(=O)NC(C)C)s2)no1,6.74249999999999
26666915,Cc1ccc(-n2c(C(C)C)nc3oc4ccccc4c(=O)c3c2=O)cc1,9.74569999999999
26669881,O=C(CSc1nc2ncc(Cl)cc2[nH]1)c1c[nH]c2ccccc12,11.7847
22415383,Cc1cc(OCC(=O)NCc2ccccn2)cc(C)c1Br,7.4867
49726530,N#Cc1cc(C#N)c(SCC(=O)NCC2CCCO2)nc1N,12.09
26665886,CC(C)NC(=S)Nc1c(N)[nH]c(=O)[nH]c1=O,15.3143
57265457,NC(=O)c1ccsc1NC(=O)COC(=O)CNC(=O)c1cccc([N+](=O)[O-])c1,7.4243
17412007,O=C(N/N=C/c1ccc(OCC(=O)N2CCCCC2)cc1)c1ccccc1,14.1889
24802520,Cc1nc2sc(C(=O)c3ccccc3)c(N)c2c(C)c1C,11.6635
